brand,country,industry,website,products,description,mission,overall_score,environment_score,environment_products,environment_practices,environment_outputs,environment_inputs,certification
ecologic solutions inc.,United States,cleaning products,ecologicsolutions.com,b to b env pref cleaning & maintenance chemicals manufacturing & distribution,"els is a full-service manufacturer and distributor of over 100 cleaning products for many industries, while focusing on three programs: building maintenance, hospitality, and food service.","ecologic solutions inc.'s sole purpose is to introduce the safest, effective and cost competitive cleaning products to mass consumers.",91.3,35.1,unknown,18.5,2.3,7.6,b-corp
ecolution consulting,South Africa,environmental consulting,www.ecolution.co.za,sustainability consulting firm,sustainability consulting firm active in the south african built environment focusing on green building design and certification as well as general sustainability consulting to various industry sectors.,"ecolution consulting is a professional sustainability consulting firm that provides expert insights, solutions and consulting services for businesses in any industry and buildings of any nature. our services assist clients who are striving to be an enviro",95.8,10.9,unknown,9.8,4.0,1.0,b-corp
ecomatcher limited,Hong Kong,software publishing and saas platforms,www.ecomatcher.com,newly planted trees & digital tree tools for sustainability engagement programs.,"enabling businesses to increase customer and employee sustainability engagement through smart tree planting. through ecomatcher newly planted trees can be adopted. every tree can be tracked and can be used for gifting, reward, engagement programs.","ecomatcher’s vision is that sustainability is at the heart of every business success. ecomatcher’s mission is to enable businesses to increase customer and employee engagement through smart tree planting, a world’s first.",81.7,3.2,unknown,2.9,0.0,1.0,b-corp
ecopura limitada,Chile,apparel,www.ecopura.cl,prendas de vestir de algodón orgánico y de lana 100% natural de oveja,sociedad de responsabilidad limitada con 2 socias,"ecopura es una empresa que nace en la ciudad de puerto varas, región de los lagos, con el objetivo de entregarte prendas de vestir confeccionadas con materias primas naturales y que cuentan con procesos amigables con el medio ambiente, además de tener res",85.7,31.6,12.5,16.9,5.0,8.0,b-corp
ecosia gmbh,Germany,other info service activities,www.ecosia.org,web search service,ecosia is a search engine that donates 80% of its web ad profits to a tree planting program in burkina faso.,"as part of our mission to cultivate a more environmentally, socially and economically sustainable world, we want to support the planting of one billion new trees by 2020.",98.1,8.5,0.0,8.5,1.5,2.9,b-corp
ecosocial consultoria em desenvolvimento humano e organizacional  ltda.,Brazil,not in use,www.ecosocial.com.br,consultoria em desenvolvimento humano e organizacional e coaching,"prestação de serviços de desenvolvimento humano e organizacional, através de consultoria, coaching e treinamento; e prestação de serviços de interesse público, relacionados à concepção e ao apoio a projetos sociais, na qualidade de realizadora ou doadora.",apoiar o ser humano na aventura de tornar-se livre para assumir o seu lugar único na vida e na construção de organizações saudáveis.,80.3,3.1,unknown,2.8,2.5,0.3,b-corp
ecosteps,Australia,environmental consulting,www.ecosteps.com.au,"sustainability consulting, sustainability education",ecosteps is a leading global sustainability consultancy specializing in all aspects of sustainability strategy and implementation.,"our vision is for a sustainable world.  our contribution is to inspire individuals, organisations and communities to move towards sustainable performance. we achieve this as a 'catolist for change' and a sustainability partner in developing solutions.",84.0,11.4,unknown,11.4,2.5,4.9,b-corp
"ecosystems group, inc.",United States,other renewable energy installation,www.goecosystems.com,commercial energy efficiency consulting,"founded in 2010 in boulder, colorado, ecosystems has steadily grown into a leading provider of energy saving services with more than 500 clients spanning seven states.",to aid 1 million businesses through reliable and effective community based solutions for energy efficiency and sustainable business practices,93.0,25.3,unknown,6.4,1.1,1.9,b-corp
ecotierra,Canada,environmental consulting,www.ecotierra.co,"agroforestry project developer, carbon credit & commodities marketer","ecotierra is a developer of forestry and agroforestry projects, using a holistic approach, building strong and sustainable partnerships, encouraging corporate responsibility and ethical sourcing.",ecotierra is committed to empower communities to better use natural resources to ensure their sustainable development while having major socio-economic and environmental benefits.,82.5,34.5,unknown,5.0,1.2,2.7,b-corp
ecotone analytics gbc,United States,environmental consulting,www.ecotone-partners.com,strategy consulting and impact measurement,"ecotone analytics gbc is a data analytics company working with clients who want to manage, monitor, and measure their social or environmental impact.","ecotone analytics gbc is committed to expanding the use of social and environmental metrics in decision making for corporations, government, and non-profits.",84.5,30.1,unknown,6.1,2.5,1.7,b-corp
ecotone software consulting inc.,Canada,other info service activities,www.ecotonesoftware.com,"software consulting focusing on sustainability, erp, and crm systems",ecotone software consulting offers a boutique set of software-related services helping clients with crm and integrated sustainability reporting.,"our mission is to enable clients to achieve their sustainability goals by leveraging people, process, and technology. we strive toward a zero environmental footprint from our operations and work to make a positive contribution to our communities.",82.2,11.4,unknown,11.4,3.3,3.1,b-corp
ecowatch,United States,web portals (isic 6312),EcoWatch.com,environmental media/news,environmental news website,raise awareness of environmental issues to drive fundamental change to ensure the health and longevity of our planet.  in additional to original content we publish articles from environmental and science organizations to amplify their message.,86.0,9.9,0.0,8.6,2.5,1.4,b-corp
ecrowd!,Spain,other financial services,www.ecrowdinvest.com,crowdlending for positive impact investment projects,"we finance positive impact investments through our crowdlending platform. we identify projects, analyze them, and if they fit our positive impact criteria, publish them on the platform, where investors can lend money to the project, from 50€.",invest in a better today,94.6,5.5,unknown,5.5,1.1,0.7,b-corp
